2026-05-29 08:56:27,092 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-3\test_register_student_inserts_0\attendance.db
2026-05-29 08:56:27,104 | INFO | database | Registered student EG2020001 (Alice)
2026-05-29 08:56:27,132 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-3\test_duplicate_student_id_is_h0\attendance.db
2026-05-29 08:56:27,144 | INFO | database | Registered student EG2020002 (Bob)
2026-05-29 08:56:27,145 | WARNING | database | Student EG2020002 already registered
2026-05-29 08:56:27,173 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-3\test_mark_attendance_inserts_r0\attendance.db
2026-05-29 08:56:27,185 | INFO | database | Registered student EG2020003 (Carol)
2026-05-29 08:56:27,197 | INFO | database | Marked attendance for EG2020003 (Carol) session=session_A
2026-05-29 08:56:27,225 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-3\test_duplicate_attendance_with0\attendance.db
2026-05-29 08:56:27,236 | INFO | database | Registered student EG2020004 (Dave)
2026-05-29 08:56:27,248 | INFO | database | Marked attendance for EG2020004 (Dave) session=default
2026-05-29 08:56:27,261 | WARNING | database | Duplicate attendance for EG2020004 within 300s window (elapsed=0s)
2026-05-29 08:56:27,288 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-3\test_export_to_csv_creates_fil0\attendance.db
2026-05-29 08:56:27,301 | INFO | database | Registered student EG2020005 (Eve)
2026-05-29 08:56:27,317 | INFO | database | Marked attendance for EG2020005 (Eve) session=morning
2026-05-29 08:56:27,319 | INFO | database | Exported 1 rows to C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-3\test_export_to_csv_creates_fil0\csv\attendance_2026-05-29.csv
2026-05-29 09:02:54,477 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-4\test_init_db_creates_tables0\attendance.db
2026-05-29 09:02:54,507 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-4\test_register_student_inserts_0\attendance.db
2026-05-29 09:02:54,518 | INFO | database | Registered student EG2020001 (Alice)
2026-05-29 09:02:54,550 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-4\test_duplicate_student_id_is_h0\attendance.db
2026-05-29 09:02:54,563 | INFO | database | Registered student EG2020002 (Bob)
2026-05-29 09:02:54,565 | WARNING | database | Student EG2020002 already registered
2026-05-29 09:02:54,590 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-4\test_mark_attendance_inserts_r0\attendance.db
2026-05-29 09:02:54,602 | INFO | database | Registered student EG2020003 (Carol)
2026-05-29 09:02:54,613 | INFO | database | Marked attendance for EG2020003 (Carol) session=session_A
2026-05-29 09:02:54,644 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-4\test_duplicate_attendance_with0\attendance.db
2026-05-29 09:02:54,655 | INFO | database | Registered student EG2020004 (Dave)
2026-05-29 09:02:54,666 | INFO | database | Marked attendance for EG2020004 (Dave) session=default
2026-05-29 09:02:54,684 | WARNING | database | Duplicate attendance for EG2020004 within 300s window (elapsed=1s)
2026-05-29 09:02:54,715 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-4\test_export_to_csv_creates_fil0\attendance.db
2026-05-29 09:02:54,728 | INFO | database | Registered student EG2020005 (Eve)
2026-05-29 09:02:54,740 | INFO | database | Marked attendance for EG2020005 (Eve) session=morning
2026-05-29 09:02:54,743 | INFO | database | Exported 1 rows to C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-4\test_export_to_csv_creates_fil0\csv\attendance_2026-05-29.csv
2026-05-29 09:03:01,681 | INFO | database | Database initialised at C:\Projects\VisionGate\data\attendance.db
2026-05-29 09:03:01,682 | INFO | main | VisionGate started
2026-05-29 09:03:21,197 | INFO | main | Menu selection: 1 — Enroll New Student
2026-05-29 09:03:33,913 | INFO | database | Database initialised at C:\Projects\VisionGate\data\attendance.db
2026-05-29 09:03:33,915 | INFO | enroll | Downloading BlazeFace model to C:\Projects\VisionGate\models\blaze_face_short_range.tflite
2026-05-29 09:03:36,828 | INFO | enroll | Starting enrollment for EG/2021/4385 (Pavith Adeesha), target=20
2026-05-29 09:03:43,662 | INFO | enroll | Captured 20 raw frames, 140 total training images (augmented)
2026-05-29 09:03:43,686 | INFO | main | Enrollment exited: None
2026-05-29 09:04:03,407 | INFO | database | Database initialised at C:\Projects\VisionGate\data\attendance.db
2026-05-29 09:04:03,408 | INFO | main | VisionGate started
2026-05-29 09:04:07,645 | INFO | main | Menu selection: 1 — Enroll New Student
2026-05-29 09:04:23,596 | INFO | database | Database initialised at C:\Projects\VisionGate\data\attendance.db
2026-05-29 09:04:24,299 | INFO | enroll | Starting enrollment for EG/2021/4385 (Pavith Adeesha), target=20
2026-05-29 09:04:27,342 | INFO | enroll | Captured 20 raw frames, 140 total training images (augmented)
2026-05-29 09:04:27,367 | INFO | main | Enrollment exited: None
2026-05-29 09:11:56,560 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-5\test_init_db_creates_tables0\attendance.db
2026-05-29 09:11:56,582 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-5\test_register_student_inserts_0\attendance.db
2026-05-29 09:11:56,592 | INFO | database | Registered student EG2020001 (Alice)
2026-05-29 09:11:56,611 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-5\test_duplicate_student_id_is_h0\attendance.db
2026-05-29 09:11:56,618 | INFO | database | Registered student EG2020002 (Bob)
2026-05-29 09:11:56,619 | WARNING | database | Student EG2020002 already registered
2026-05-29 09:11:56,636 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-5\test_mark_attendance_inserts_r0\attendance.db
2026-05-29 09:11:56,643 | INFO | database | Registered student EG2020003 (Carol)
2026-05-29 09:11:56,650 | INFO | database | Marked attendance for EG2020003 (Carol) session=session_A
2026-05-29 09:11:56,672 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-5\test_duplicate_attendance_with0\attendance.db
2026-05-29 09:11:56,679 | INFO | database | Registered student EG2020004 (Dave)
2026-05-29 09:11:56,685 | INFO | database | Marked attendance for EG2020004 (Dave) session=default
2026-05-29 09:11:56,699 | WARNING | database | Duplicate attendance for EG2020004 within 300s window (elapsed=1s)
2026-05-29 09:11:56,722 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-5\test_export_to_csv_creates_fil0\attendance.db
2026-05-29 09:11:56,729 | INFO | database | Registered student EG2020005 (Eve)
2026-05-29 09:11:56,736 | INFO | database | Marked attendance for EG2020005 (Eve) session=morning
2026-05-29 09:11:56,739 | INFO | database | Exported 1 rows to C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-5\test_export_to_csv_creates_fil0\csv\attendance_2026-05-29.csv
2026-05-29 09:12:53,982 | INFO | database | Database initialised at C:\Projects\VisionGate\data\attendance.db
2026-05-29 09:12:53,983 | INFO | main | VisionGate started
2026-05-29 09:13:04,030 | INFO | main | Menu selection: 1 — Enroll New Student
2026-05-29 09:13:18,328 | INFO | enroll | Sanitized student ID 'EG/2021/4385' -> 'EG_2021_4385'
2026-05-29 09:13:18,330 | INFO | database | Database initialised at C:\Projects\VisionGate\data\attendance.db
2026-05-29 09:13:19,036 | INFO | enroll | Starting enrollment for EG_2021_4385 (Pavith Adeesha), target=20
2026-05-29 09:13:22,413 | INFO | enroll | Captured 20 raw frames, 140 total training images (augmented)
2026-05-29 09:13:24,605 | WARNING | enroll | Encoding failed for image #2
2026-05-29 09:13:24,639 | WARNING | enroll | Encoding failed for image #3
2026-05-29 09:13:24,677 | WARNING | enroll | Encoding failed for image #4
2026-05-29 09:13:24,709 | WARNING | enroll | Encoding failed for image #5
2026-05-29 09:13:24,742 | WARNING | enroll | Encoding failed for image #6
2026-05-29 09:13:25,539 | WARNING | enroll | Encoding failed for image #9
2026-05-29 09:13:25,576 | WARNING | enroll | Encoding failed for image #10
2026-05-29 09:13:25,975 | WARNING | enroll | Encoding failed for image #12
2026-05-29 09:13:26,007 | WARNING | enroll | Encoding failed for image #13
2026-05-29 09:13:26,040 | WARNING | enroll | Encoding failed for image #14
2026-05-29 09:13:26,465 | WARNING | enroll | Encoding failed for image #16
2026-05-29 09:13:26,493 | WARNING | enroll | Encoding failed for image #17
2026-05-29 09:13:26,522 | WARNING | enroll | Encoding failed for image #18
2026-05-29 09:13:26,549 | WARNING | enroll | Encoding failed for image #19
2026-05-29 09:13:26,579 | WARNING | enroll | Encoding failed for image #20
2026-05-29 09:13:27,410 | WARNING | enroll | Encoding failed for image #23
